feature_id,plane,l1_feature,l2_feature,option_A,option_B,option_C,option_D,option_E
WF-01,Workflow,Ingestion,1. Request Capture,PRESERVED,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-02,Workflow,Ingestion,2. Qualified Channel Signal Intake,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-03,Workflow,Ingestion,3. User-Supplied Material Import,PRESERVED,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-04,Workflow,Ingestion,4. Intake Context Binding,PRESERVED,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-05,Workflow,Ingestion,5. Real-Time Intake Deduplication & Cleaning,PRESERVED,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-06,Workflow,Ingestion,6. Intake Provenance Registration,PRESERVED,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-07,Workflow,Ingestion,7. Intake Qualification,PRESERVED,PRESERVED,PRESERVED,PRESERVED WITH ADAPTATION,PRESERVED
WF-08,Workflow,Requirement compilation,1. Intent Interpretation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-09,Workflow,Requirement compilation,2. Context Scoping,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-10,Workflow,Requirement compilation,3. Ambiguity Resolution,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-11,Workflow,Requirement compilation,4. Constraint Resolution,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-12,Workflow,Requirement compilation,5. Requirement Prioritization,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-13,Workflow,Requirement compilation,6. Acceptance Definition,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
WF-14,Workflow,Requirement compilation,7. Requirement Contract Confirmation,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED,NEW BUILD REQUIRED
WF-15,Workflow,Search & ideation,1. Search Strategy Formation,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
