feature_id,plane,sheet,l1_feature,l2_feature,l2_description,intended_user_outcome,semantic_owner,product_subsystem,runtime_implementer,execution_mechanism,implementation_decision,existing_ai4rnd_implementation,existing_jiuwen_implementation,reusable_evidence,missing_work,persistence_authority,data_graph,verification_authority,acceptance_evidence_or_test,product_surface,delivery_phase,confidence,evidence_class,implementation_slices,assumptions_open_questions
WF-01,Workflow,Workflow Features,Ingestion,1. Request Capture,"Receives the user’s question, instruction, desired outcome, and requested deliverable as an intake candidate without prematurely treating it as a formal requirement.",A message on any channel creates a project record with the raw request preserved,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),EXTEND,Intake handled by coordinator.sh polling loop + tmux panes,Gateway + 9 IM channels + session creation carry request capture,"jw-src/jiuwenswarm/gateway/, agents/harness/common/session_ops_service.py",Bind a captured request to an AI4RnD project record and Contract draft,JiuwenSwarm session store + AI4RnD intake ledger,Trace graph,AI4RnD intake qualification rules,A message on any channel creates a project record with the raw request preserved,Chat / channel + project intake view,P1,HIGH,SRC,,
WF-02,Workflow,Workflow Features,Ingestion,2. Qualified Channel Signal Intake,"Accepts a V-05-qualified Slack or internal-tool clue with its permitted context, sensitivity, relevance, and provenance; raw channel traffic remains outside Workflow.",An unqualified clue is rejected with a stated reason,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),BUILD,"Channel signal intake exists for social/GitHub sources, not V-05-qualified Slack",Slack channel adapter exists; no qualification tier,jw-src/jiuwenswarm/gateway/channel_manager/,V-05 qualification tier and clue schema,JiuwenSwarm session store + AI4RnD intake ledger,,AI4RnD intake qualification rules,An unqualified clue is rejected with a stated reason,Chat / channel + project intake view,P1,MEDIUM,INF,,Workbook references a 'V-05' qualification level defined outside the workbook; definition unresolved
WF-03,Workflow,Workflow Features,Ingestion,3. User-Supplied Material Import,"Imports documents, uploads, pasted content, datasets, and explicit file, repository, or URL references supplied by the user; related-source discovery belongs to Search & Ideation.",An uploaded PDF appears in the evidence ledger with a content hash,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),REUSE,File ingest via harness tools,Parser registry loads xlsx/csv/pdf/docx/md/html/json/images at import time,openjiuwen parser registration (observed on every process start),Attach imported material to the project record as first-class evidence,JiuwenSwarm session store + AI4RnD intake ledger,,AI4RnD intake qualification rules,An uploaded PDF appears in the evidence ledger with a content hash,Chat / channel + project intake view,P1,HIGH,SRC,,
WF-04,Workflow,Workflow Features,Ingestion,4. Intake Context Binding,"Binds the candidate to the authorized user, session, workspace, project, originating signal, and explicitly selected prior artifacts needed for interpretation.",A restarted agent server still resolves the session to its project,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),ADAPT,Session/pane binding via coordinator state machine,"Session, workspace and user binding in the gateway; team workspace layout",jw-src/jiuwenswarm/agents/harness/common/session_ops_service.py,project_id in session metadata; project<->session link that survives restart,JiuwenSwarm session store + AI4RnD intake ledger,,AI4RnD intake qualification rules,A restarted agent server still resolves the session to its project,Chat / channel + project intake view,P1,HIGH,SRC,,
WF-05,Workflow,Workflow Features,Ingestion,5. Real-Time Intake Deduplication & Cleaning,"Canonicalizes incoming candidates, filters malformed or noisy content, and merges replays, exact duplicates, and near-duplicates while preserving meaningful revisions and independent corroboration.",Two identical clues yield one candidate,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),PORT,Deduplication in the ingestion tools,No intake-level dedup,AI4Research harness ingest tooling,Canonicalisation rules for research intake,JiuwenSwarm session store + AI4RnD intake ledger,,AI4RnD intake qualification rules,Two identical clues yield one candidate,Chat / channel + project intake view,P1,MEDIUM,SRC,,
WF-06,Workflow,Workflow Features,Ingestion,6. Intake Provenance Registration,"Records origin, identity, version, timestamp, access path, acquisition mode, and transformations for every accepted intake input.",Every intake candidate resolves to a source with a byte offset,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),PORT,Evidence ledger records provenance with citation spans (117 LOC lib/evidence_ledger.py),No provenance concept at intake,AI4Research harness/lib/evidence_ledger.py; executed standalone in V-10,Bind intake provenance to the ledger at capture time,JiuwenSwarm session store + AI4RnD intake ledger,Trace graph,AI4RnD intake qualification rules,Every intake candidate resolves to a source with a byte offset,Chat / channel + project intake view,P1,HIGH,EXEC,,
WF-07,Workflow,Workflow Features,Ingestion,7. Intake Qualification,"Checks accessibility, authorization, readability, and minimum completeness, then emits a qualified intake package or an explicit rejection or quarantine reason.",A disqualified intake never reaches compilation,AI4RnD Core,Intake plane,JiuwenSwarm Application,DeepAgent (session turn),ADAPT,"Gate ledger provides append-only, writer-attributed qualification decisions",No qualification stage,AI4Research harness/lib/gate_ledger.py (372 LOC),Intake qualification rule set and its gate,JiuwenSwarm session store + AI4RnD intake ledger,,AI4RnD intake qualification rules,A disqualified intake never reaches compilation,Chat / channel + project intake view,P1,MEDIUM,SRC,,
WF-08,Workflow,Workflow Features,Requirement compilation,1. Intent Interpretation,"Determines the user’s actual problem, desired change, audience, decision, and deliverable without selecting an opportunity or solution.",An ambiguous request produces an explicit interpretation the user can correct,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),ADAPT,Requirement compiler present (lib/research/deepdive_requirement_compiler.py),"WorkflowController.intent_detection classifies intent for routing, not for R&D meaning",AI4Research lib/research/deepdive_requirement_compiler.py; openjiuwen workflow_controller.py,Map compiled intent onto the Contract schema,AI4RnD project Contract record,,AI4RnD Contract acceptance check,An ambiguous request produces an explicit interpretation the user can correct,Project view - Contract panel,P1,HIGH,SRC,,
WF-09,Workflow,Workflow Features,Requirement compilation,2. Context Scoping,"Resolves applicable context, affected entities, time horizon, inclusions, exclusions, and the boundary of the decision to support.",Out-of-scope work is refused with a reason,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),ADAPT,Context scoping in the requirement compiler,Session context + workspace scoping,AI4Research requirement compiler; Jiuwen session scope,Scope as a Contract field with an explicit boundary,AI4RnD project Contract record,,AI4RnD Contract acceptance check,Out-of-scope work is refused with a reason,Project view - Contract panel,P1,MEDIUM,SRC,,
WF-10,Workflow,Workflow Features,Requirement compilation,3. Ambiguity Resolution,"Finds missing information, conflicting instructions, undefined terms, and consequential assumptions and resolves them through focused questions or explicit defaults.",An ambiguous Contract cannot be confirmed,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded agent work),ADAPT,Ambiguity handling in the compiler,Human-interaction interrupt exists in Core Workflow and SwarmFlow human_session,openjiuwen workflow_config.handle_type='interrupt'; swarmflow human_session primitive,Ambiguity questions raised as a first-class blocking state,AI4RnD project Contract record,,AI4RnD Contract acceptance check,An ambiguous Contract cannot be confirmed,Project view - Contract panel,P1,MEDIUM,SRC,,
