id,sheet,l1,l2,firmness,ai4rnd_maturity,jw_coverage,evidence,evidence_class,disposition,verification_needed
1,Workflow,Ingestion,1. Request Capture,FIRM,ACTIVE,FULL,JW gateway/channel_manager (9 IM+web+TUI+ACP); AI4R workflow_intake.py:1-24,EXEC,REUSE-JW,channel->run binding
2,Workflow,Ingestion,2. Qualified Channel Signal Intake,DEBATED,SPEC,PARTIAL,JW im_pipeline/im_inbound.py; V-05 qualification not implemented either side,SRC,BUILD,define V-05 qualification contract
3,Workflow,Ingestion,3. User-Supplied Material Import,FIRM,ACTIVE,FULL,"JW file services per channel; AI4R source_manifest.py, knowledge_ingest_registry.py",SRC,REUSE-JW,large-file/dataset limits
4,Workflow,Ingestion,4. Intake Context Binding,FIRM,ACTIVE,PARTIAL,JW session/workspace binding; AI4R workspace_binding.py,SRC,ADAPT,project/workspace model mismatch
5,Workflow,Ingestion,5. Real-Time Intake Deduplication & Cleaning,FIRM,IMPL-UNWIRED,NONE,AI4R lib/research/ids.py deterministic ids + content_hash; dedup in mirage_search,EXEC,PORT,near-duplicate policy
6,Workflow,Ingestion,6. Intake Provenance Registration,FIRM,ACTIVE,NONE,AI4R research SourceDocument.content_hash; evidence ledger provenance,EXEC,PORT,provenance schema vs JW session
7,Workflow,Ingestion,7. Intake Qualification,FIRM,IMPL-UNWIRED,NONE,AI4R workflow_intake fail-closed (exit 3/4); quarantine in coordinator,SRC,PORT,quarantine semantics
8,Workflow,Requirement compilation,1. Intent Interpretation,FIRM,ACTIVE,PARTIAL,AI4R intent_gateway.py(736) + intent_engine_adapter.py(851) wired,EXEC,PORT,overlap with JW plan mode
9,Workflow,Requirement compilation,2. Context Scoping,FIRM,ACTIVE,PARTIAL,"AI4R requirement_compiler/, requirement_coverage.py(471) wired",EXEC,PORT,
10,Workflow,Requirement compilation,3. Ambiguity Resolution,FIRM,ACTIVE,PARTIAL,AI4R intent_gateway ambiguity path; JW structured_ask_user rail,SRC,ADAPT,who owns clarification UX
11,Workflow,Requirement compilation,4. Constraint Resolution,FIRM,IMPL-UNWIRED,PARTIAL,AI4R workflow_contract.py(1136); JW permissions config,SRC,PORT,constraint->permission mapping
12,Workflow,Requirement compilation,5. Requirement Prioritization,FIRM,SPEC,NONE,AI4R feature-list only; no prioritisation module found,SRC,BUILD,
13,Workflow,Requirement compilation,6. Acceptance Definition,FIRM,ACTIVE,NONE,"AI4R contract Done+verify blocks (contract-template-v2), solar-verify",SRC,PORT,
14,Workflow,Requirement compilation,7. Requirement Contract Confirmation,FIRM,ACTIVE,NONE,AI4R workflow_contract instantiate + hash/version; task_graph carries contract id,EXEC,PORT,
15,Workflow,Search & ideation,1. Search Strategy Formation,FIRM,ACTIVE,PARTIAL,AI4R research/cli survey-plan; JW Symphony orchestration (different purpose),EXEC,PORT,
16,Workflow,Search & ideation,2. Multi-Source Signal Discovery,FIRM,ACTIVE,PARTIAL,"AI4R mirage_search.py(931), gemini_enhanced_search.py, research search",EXEC,PORT,connector auth/quotas
17,Workflow,Search & ideation,3. Source Qualification,FIRM,ACTIVE,NONE,AI4R evaluator._source_authority_metrics + policies/source_authority.json,EXEC,PORT,
18,Workflow,Search & ideation,4. Technical Signal Extraction,FIRM,ACTIVE,NONE,"AI4R research extract -> evidence spans [0,150) verified in run",EXEC,PORT,
19,Workflow,Search & ideation,5. Signal Organization,FIRM,ACTIVE,NONE,AI4R research mine -> 3 claims/3 links verified; signal clustering in survey,EXEC,PORT,
20,Workflow,Search & ideation,6. Trend & Gap Analysis,FIRM,IMPL-UNWIRED,NONE,"AI4R survey/source_gap.py, tech_hotspot_radar/",SRC,PORT,
21,Workflow,Search & ideation,7. Idea Generation,DEBATED,SPEC,NONE,Idea generation specified; no dedicated module found,SRC,BUILD,is this LLM-only or structured?
22,Workflow,Search & ideation,8. Search Coverage Review,FIRM,IMPL-UNWIRED,NONE,AI4R evaluator._source_diversity_metrics + survey/gates/source_quality_distribution,EXEC,PORT,
23,Workflow,Idea identification / screening / opportunity selection,1. Candidate Consolidation,FIRM,SPEC,NONE,Consolidation specified; partial in survey/chief_editor,SRC,BUILD,
24,Workflow,Idea identification / screening / opportunity selection,2. Idea Identification,DEBATED,SPEC,NONE,No idea-identification module found,SRC,BUILD,
25,Workflow,Idea identification / screening / opportunity selection,3. Idea Card Formation,FIRM,SPEC,NONE,Idea Card is the governing artifact; schema not found in code,SRC,BUILD,Idea Card schema is a gap
26,Workflow,Idea identification / screening / opportunity selection,4. Opportunity Definition,FIRM,SPEC,NONE,No opportunity-definition module,SRC,BUILD,
27,Workflow,Idea identification / screening / opportunity selection,5. Technical Opportunity Screening,FIRM,SPEC,NONE,Screening specified only,SRC,BUILD,
28,Workflow,Idea identification / screening / opportunity selection,6. Strategic Opportunity Screening,DEBATED,SPEC,NONE,Strategic screening; overlaps product judgement,SRC,BUILD,who decides strategic fit
29,Workflow,Idea identification / screening / opportunity selection,7. Opportunity Portfolio Prioritization,FIRM,SPEC,NONE,Portfolio prioritisation specified only,SRC,BUILD,
30,Workflow,Generate technical claims & hypothesis,1. Research Question & Technical Claim Formation,FIRM,SCAFFOLD,NONE,AI4R research Claim dataclass + claim_type; formation not automated,EXEC,PORT,
31,Workflow,Generate technical claims & hypothesis,"2. Claim, Evidence, Data & Method Modeling",FIRM,ACTIVE,NONE,AI4R Claim/EvidenceItem/ClaimEvidenceLink schemas executed,EXEC,PORT,
